x1,y1,x2,y2
2.1,6.05,1.78,2.25
2.24,5.99,1.927,2.221
2.38,5.93,2.074,2.192
2.52,5.87,2.221,2.163
2.66,5.81,2.368,2.134
2.8,5.75,2.515,2.105
2.94,5.69,2.662,2.076
3.08,5.63,2.809,2.047
3.22,5.57,2.956,2.018
3.36,5.51,3.103,1.989
3.5,5.45,3.25,1.96
3.64,5.39,3.397,1.931
3.78,5.33,3.544,1.902
3.92,5.27,3.691,1.873
4.06,5.21,3.838,1.844
4.2,5.15,3.985,1.815
4.34,5.09,4.132,1.786
4.48,5.03,4.279,1.757
4.62,4.97,4.426,1.728
4.76,4.91,4.573,1.699
4.9,4.85,4.72,1.67
5.04,4.79,4.867,1.641
5.18,4.73,5.014,1.612
5.32,4.67,5.161,1.583
5.46,4.61,5.308,1.554
5.6,4.55,5.455,1.525
5.74,4.49,5.602,1.496
5.88,4.43,5.749,1.467
6.02,4.37,5.896,1.438
6.16,4.31,6.043,1.409
6.3,4.25,6.19,1.38
6.44,4.19,6.337,1.351
6.58,4.13,6.484,1.322
6.72,4.07,6.631,1.293
6.86,4.01,6.778,1.264
7,3.95,6.925,1.235
7.14,3.89,7.072,1.206
7.28,3.83,7.219,1.177
7.42,3.77,7.366,1.148
7.56,3.71,7.513,1.119
7.7,3.65,7.66,1.09
7.84,3.59,7.807,1.061
7.98,3.53,7.954,1.032
8.12,3.47,8.101,1.003
8.26,3.15,8.248,0.974
8.4,2.4,8.395,0.945
8.54,1.6,8.542,0.916
