x1,y1,x2,y2
3.545,9.51,9.29,7.2
3.455,9.25,9.19,6.95
3.36,8.99,9.09,6.7
3.265,8.73,8.995,6.45
3.17,8.47,8.9,6.2
3.075,8.21,8.805,5.95
2.98,7.95,8.71,5.7
2.885,7.69,8.615,5.45
2.79,7.43,8.52,5.2
2.695,7.17,8.425,4.95
2.6,6.91,8.33,4.7
2.505,6.65,8.235,4.45
2.41,6.39,8.14,4.2
2.315,6.13,8.045,3.95
2.22,5.87,7.95,3.7
2.125,5.61,7.855,3.45
2.03,5.35,7.76,3.2
1.935,5.09,7.665,2.95
1.84,4.83,7.57,2.7
1.745,4.57,7.475,2.45
1.65,4.31,7.38,2.2
1.555,4.05,7.285,1.95
1.46,3.79,7.19,1.7
1.365,3.53,7.095,1.45
1.27,3.27,7,1.2
1.175,3.01,6.905,0.95
