x1,y1,x2,y2
3.545,9.49,9.28,7.195
3.4571,9.25,9.1916,6.965
3.3692,9.01,9.1032,6.735
3.2813,8.77,9.0148,6.505
3.1934,8.53,8.9264,6.275
3.1055,8.29,8.838,6.045
3.0176,8.05,8.7496,5.815
2.9297,7.81,8.6612,5.585
2.8418,7.57,8.5728,5.355
2.7539,7.33,8.4844,5.125
2.666,7.09,8.396,4.895
2.5781,6.85,8.3076,4.665
2.4902,6.61,8.2192,4.435
2.4023,6.37,8.1308,4.205
2.3144,6.13,8.0424,3.975
2.2265,5.89,7.954,3.745
2.1386,5.65,7.8656,3.515
2.0507,5.41,7.7772,3.285
1.9628,5.17,7.6888,3.055
1.8749,4.93,7.6004,2.825
1.787,4.69,7.512,2.595
1.6991,4.45,7.4236,2.365
1.6112,4.21,7.3352,2.135
1.5233,3.97,7.2468,1.905
1.4354,3.73,7.1584,1.675
1.3475,3.49,7.07,1.445
1.2496,3.25,6.9816,1.215
1.1696,3.01,6.8932,0.985
