x1,y1,x2,y2
2.1,6.05,1.78,2.25
2.237,5.99,1.925,2.221
2.374,5.93,2.07,2.192
2.511,5.87,2.215,2.163
2.648,5.81,2.36,2.134
2.785,5.75,2.505,2.105
2.922,5.69,2.65,2.076
3.059,5.63,2.795,2.047
3.196,5.57,2.94,2.018
3.333,5.51,3.085,1.989
3.47,5.45,3.23,1.96
3.607,5.39,3.375,1.931
3.744,5.33,3.52,1.902
3.881,5.27,3.665,1.873
4.018,5.21,3.81,1.844
4.155,5.15,3.955,1.815
4.292,5.09,4.1,1.786
4.429,5.03,4.245,1.757
4.566,4.97,4.39,1.728
4.703,4.91,4.535,1.699
4.84,4.85,4.68,1.67
4.977,4.79,4.825,1.641
5.114,4.73,4.97,1.612
5.251,4.67,5.115,1.583
5.388,4.61,5.26,1.554
5.525,4.55,5.405,1.525
5.662,4.49,5.55,1.496
5.799,4.43,5.695,1.467
5.936,4.37,5.84,1.438
6.073,4.31,5.985,1.409
6.21,4.25,6.13,1.38
6.347,4.19,6.275,1.351
6.484,4.13,6.42,1.322
6.621,4.07,6.565,1.293
6.758,4.01,6.71,1.264
6.895,3.95,6.855,1.235
7.032,3.89,7,1.206
7.169,3.83,7.145,1.177
7.306,3.77,7.29,1.148
7.443,3.71,7.435,1.119
7.58,3.65,7.58,1.09
7.717,3.59,7.725,1.061
7.854,3.53,7.87,1.032
7.991,3.47,8.015,1.003
8.128,3.41,8.16,0.974
8.265,3.2,8.305,0.945
8.402,2.5,8.45,0.916
8.539,1.7,8.595,0.887
