x1,y1,x2,y2
8.091,10.95,9.1,10.7
8.01,10.7,11.1,9.78
7.929,10.45,11.162,9.53
7.848,10.2,11.078,9.28
7.767,9.95,10.994,9.03
7.686,9.7,10.91,8.78
7.605,9.45,10.826,8.53
7.524,9.2,10.742,8.28
7.443,8.95,10.658,8.03
7.362,8.7,10.574,7.78
7.281,8.45,10.49,7.53
7.2,8.2,10.406,7.28
7.119,7.95,10.322,7.03
7.038,7.7,10.238,6.78
6.957,7.45,10.154,6.53
6.876,7.2,10.07,6.28
6.795,6.95,9.986,6.03
6.714,6.7,9.902,5.78
6.633,6.45,9.818,5.53
6.552,6.2,9.734,5.28
6.471,5.95,9.65,5.03
2.69,6.8,9.566,4.78
2.61,6.55,9.482,4.53
2.53,6.3,9.398,4.28
2.45,6.05,9.314,4.03
2.37,5.8,9.23,3.78
2.29,5.55,9.146,3.53
2.21,5.3,9.062,3.28
2.13,5.05,8.978,3.03
2.05,4.8,8.894,2.78
1.97,4.55,8.81,2.53
1.89,4.3,8.726,2.28
1.81,4.05,8.642,2.03
1.73,3.8,8.558,1.78
1.65,3.55,8.474,1.53
1.57,3.3,8.39,1.28
1.49,3.05,8.306,1.03
1.41,2.8,8.222,0.78
1.33,2.55,8.138,0.53
1.25,2.3,8.06,0.28
